Original,Translation
danke,Thanks!
dann,Then
direkt,Straight
dort,There
ein bisschen,A bit
ein paar,Some
einzeln,Particular
endlich,Eventual
Entschuldigung,Sorry!
erlaubt,Allowed {past-p}
fast,Almost
freut mich,(i'm) pleased meet you.
früher,Previous [attr.]
für mich,For me alone
geboren,Born {past-p}
geöffnet,"Open [not closed, esp. of buildings, institutions, shops]"
gerade just,Gerade wegen
gern,Gladly
geschlossen,Shut {past-p}
gleich,Equal
guten Appetit,Bon appétit!
herzlich Willkommen,Welcome!
heute,Today
hier,Here
ich weiß nicht,Don't know.
immer,Always
in Ordnung,All right
ja,Yes
jed,Ed
jetzt,Now
klar,Lucid
lange,Long
leider,Unfortunately
liebe,Love
liebe Grüße,Best wishes
lieber,Rather
liebling,Favourite [br.]
man,Man
manche,Some
manchmal,Sometimes
mehr als,Above
meist,Most
mit freundlichen Grüße,"Sincere regards, ..."
möglich,Possible
"Moment, bitte",Einen augenblick bitte!
morgen,Tomorrow
nach,Towards
nach Hause,Home
nächst,Next [following in order or importance]
v natürlich,Umgekehrt
nein,No
nie,Never
noch,Still
noch einmal,Again
noch nicht,Unverified not already
nur,Only
Okay,Okay
perfekt,Consummate
pro Woche,A week
schade,Pity!
schon,Already
sehr,Very
sehr geehrter Herr,Dear sir
seit,Since
selbst,Even
sogar,Even
Sonst noch etwas,Anything else?
stimmt,Agreed! [i agree]
super,Super
täglich,Daily
total,Total
4 tut mir leid,Tut mir leid.
überall,Everywhere
überhaupt,Anyway
übermorgen,Overmorrow [obs.]
unbedingt,Absolutely
verboten,Prohibited {past-p}
verschieden,Various
vielleicht,Maybe
vor,Before
vorher,Prior [previously]
Wie bitte,Uh?
wieder,Again
wirklich,Actually
Z.B.,Such as
Zum Beispiel,Such as?
ziemlich,Quite [rather]
zu Hause,Home [at home]
zum Frühstück,For breakfast
zum Glück,Blessedly
zum Schluss,At the end
zurzeit,Currently
zusammen,Together
zwischen,Between
alles,Everything
deprimiert,Depressed {past-p}
zu dick,Too thick
dringend,Urgent
ein bisschen,A bit
eng,"Tight [narrow, close]"
frei,Free
ganz,Quite [rather]
gefährlich,Dangerous
gegen,Against
gesund,Healthy
groß,Big
heiß,Hot [also fig.]
interessant,Interesting
kalt,Cold
krank,Ill
kurz,Briefly
Lachen ist gesund,Alles ist gesund (und munter). [ugs.]
leider,Unfortunately
mit freundlichen Grüßen,"Sincere regards, ..."
möglich,Possible
müde,Tired
nach,Towards
nach Hause,Home
nächst,Next [following in order or importance]
nervös,Tense
"Oh, Arme","Allmächd! [fränk.] [ausruf erstaunens), allmächtiger gott!]"
regelmäßig,Regular
rot,Rot
ruhig,Calm
schlimm,Sad
schmal,Narrow
sehr,Very
stark,Strong
viel,Much
Vielen Dank im Voraus,Many thanks in advance!
vor,Before
vorsichtig,Careful
wirklich,Actually
wieder,Again
zu Hause,Home [at home]
da,Da [weil]
dahin,Thither [archaic or literary] [to that place]
circa ,Circa
there,Dort
there,Dort
daneben ,Besides
dann ,Then
direkt ,Straight
dort ,There
dringend ,Urgent
drüben ,Beyond
das macht nichts,That doesn't matter.
einfach,Easy
fremd ,Foreign
gleich,Equal
einmal,Once
geradeaus,Ahead
hier,Here
hin und zurück,There and back
hinten,Behind
immer,Always
alwe,Ale
in der Nähe,Close by
links ,Left
nächst,Next [following in order or importance]
nah ,Near
oben ,Aloft
nun,Nun
nur,Only
rechts,Right
oft ,Often
pünktlich,Punctual
schon,Already
spät ,Late
unten ,Below
vorne ,Ahead
weit ,Far
weiter ,Further
zuerst ,First
draußen,Outside
dunkel,Dark [also fig]
einfach,Easy
erst ,Only
freundlich,Friendly
gebraucht,Used {past-p}
grün ,Green
heiss,Heiß [auch fig.]
hell,Bright
höflich ,Polite
im Voraus,Beforehand
kalt,Cold
kaputt,Broken [in pieces; not functioning]
kostenlos,Complimentary [free of charge]
laut,Loud
leise,Quiet
schon,Already
sofort,Immediately
später,Later
unfreundlich,Unkind
vielleicht,Maybe
warm,Warm
weltberühmt,World-celebrated
wieder,Again
alt,Old
auch,Also
beides,Both interact.
lustig,Funny
neu,New
noch,Still
billig,Cheap
blau,Blue
braun,Brown
demokratisch,Democratic
deutschsprachig,Germanophone
eng,"Tight [narrow, close]"
genau richtig,Right on the mark
gelb,Yellow
grau,Grey [esp. br.]
groß,Big
grün,Green
günstig,Favourable [br.]
hässlich,Ugly
interessant,Interesting
"ja, stimmt","Oh yeah, that's right. [coll.]"
klasse,Boss [sl.] [excellent]
klein,Small
kurz,Briefly
lang,Long
langweilig,Boring
passend,Appropriate
rot,Rot
rückwärts,Backwards
schön,Beautiful
schwarz,Black
schwer,Heavy
sehr,Very
sieh mal,"Well, well!"
super,Super
zu teuer,Overpriced
toll,Terrific [coll.] [excellent]
überhaupt,Anyway
vorwärts,Forward
was für,Sb. was interested in
weg,Away
weiß,White
welch,Which
wichtig,Important
wirklich,Actually
zufrieden,Pleased
zusammen,Together
alles Gute,All the best!
anschließend,Subsequent
bald,Bald
eilig,Urgent
fit,Passend [geeignet]
froh,Glad
genau,Exactly
herzlich,Cordial
herzliche Grüße,Affectionate regards
hoffentlich,Hopefully [sentence adverb: it is to be hoped that ...]
langweilig,Boring
leider,Unfortunately
lieb,Dear
Mist,Damn! [coll.]
nächst,Next [following in order or importance]
nichts,Nothing
schade,Pity!
schön,Beautiful
sicher,Certain
soweit,If
sympathisch,Likeable
tut mir leid,Sorry.
unwichtig,Unimportant
vorbei,Past
vorhanden,Available
wunderbar,Marvellous [br.]
dies,This
